,rate,comps,nodes,LL_mean,LL_sd
152,0.001,4,15,-3.69794,0.447902
153,0.001,4,17,-3.8382,0.416279
154,0.001,4,19,-4.0134,0.415894
155,0.001,4,20,-3.71687,0.264031
156,0.001,4,22,-3.77488,0.365013
157,0.001,4,24,-3.68377,0.12215
158,0.001,4,26,-3.49021,0.470376
159,0.001,4,28,-3.70675,0.432018
160,0.001,4,29,-3.63435,0.288881
161,0.001,4,31,-3.67129,0.205669
162,0.001,4,33,-3.88724,0.281885
163,0.001,4,35,-3.6154,0.150394
164,0.001,4,37,-3.85594,0.352142
165,0.001,4,38,-3.83148,0.332648
166,0.001,4,40,-3.72254,0.345245
167,0.001,4,42,-4.00334,0.271474
168,0.001,4,44,-3.64804,0.139193
169,0.001,4,46,-3.82314,0.232214
170,0.001,4,47,-3.72938,0.427593
171,0.001,4,49,-3.60408,0.315392
172,0.001,4,51,-3.6366,0.491254
173,0.001,4,53,-3.3455,0.432707
174,0.001,4,55,-3.71741,0.131482
175,0.001,4,56,-3.64333,0.223599
176,0.001,4,58,-3.71486,0.217995
177,0.001,4,60,-3.48184,0.504873
178,0.001,4,62,-3.76374,0.279261
179,0.001,4,64,-3.7857,0.256521
180,0.001,4,65,-3.49381,0.507141
181,0.001,4,67,-3.7265,0.203528
182,0.001,4,69,-3.74518,0.442375
183,0.001,4,71,-3.71087,0.31944
184,0.001,4,73,-3.60413,0.316571
185,0.001,4,74,-3.76911,0.334406
186,0.001,4,76,-3.57911,0.393792
187,0.001,4,78,-3.61148,0.484603
188,0.001,4,80,-3.88932,0.223822
189,0.001,4,82,-3.72599,0.291759
190,0.001,4,83,-3.75336,0.124505
191,0.001,4,85,-3.68467,0.341013
192,0.001,4,87,-3.81031,0.133197
193,0.001,4,89,-3.55862,0.0436059
194,0.001,4,91,-3.66594,0.65085
195,0.001,4,92,-3.69192,0.257274
196,0.001,4,94,-3.62548,0.407574
197,0.001,4,96,-3.58053,0.40274
198,0.001,4,98,-3.56234,0.423022
199,0.001,4,100,-3.89047,0.267553
200,0.001,5,15,-3.87768,0.523131
201,0.001,5,16,-4.10196,0.0651416
202,0.001,5,18,-3.92893,0.410342
203,0.001,5,20,-3.85452,0.158148
204,0.001,5,21,-3.5605,0.478186
205,0.001,5,23,-4.05759,0.254956
206,0.001,5,25,-3.87515,0.374488
207,0.001,5,27,-3.76893,0.483319
208,0.001,5,28,-3.64439,0.404157
209,0.001,5,30,-3.92075,0.27157
210,0.001,5,32,-3.84729,0.410382
211,0.001,5,34,-3.85369,0.404291
212,0.001,5,35,-3.77344,0.418207
213,0.001,5,37,-3.78764,0.277394
214,0.001,5,39,-3.83032,0.331895
215,0.001,5,41,-3.81546,0.307545
216,0.001,5,42,-3.56741,0.207248
217,0.001,5,44,-3.87956,0.298239
218,0.001,5,46,-3.66927,0.266445
219,0.001,5,47,-4.11356,0.47861
220,0.001,5,49,-3.84322,0.343684
221,0.001,5,51,-3.79654,0.4964
222,0.001,5,53,-3.42149,0.540689
223,0.001,5,54,-3.65899,0.340615
224,0.001,5,56,-3.88476,0.195144
225,0.001,5,58,-3.87201,0.219853
226,0.001,5,60,-3.95658,0.349016
227,0.001,5,61,-3.34935,0.985435
228,0.001,5,63,-3.95514,0.619343
229,0.001,5,65,-3.66484,0.434828
230,0.001,5,67,-3.80131,0.645098
231,0.001,5,68,-3.45078,0.166759
232,0.001,5,70,-3.48075,0.260502
233,0.001,5,72,-3.73425,0.261219
234,0.001,5,73,-3.43487,0.745679
235,0.001,5,75,-3.54791,0.603756
236,0.001,5,77,-3.95332,0.311367
237,0.001,5,79,-3.79935,0.496592
238,0.001,5,80,-3.72514,0.56051
239,0.001,5,82,-3.75795,0.445169
240,0.001,5,84,-3.96019,0.302761
241,0.001,5,86,-3.79235,0.348645
242,0.001,5,87,-3.77135,0.282334
243,0.001,5,89,-3.65232,0.170975
244,0.001,5,91,-3.76661,0.174073
245,0.001,5,93,-3.6787,0.324659
246,0.001,5,94,-3.56003,0.568619
247,0.001,5,96,-3.71048,0.239082
248,0.001,5,98,-3.54151,0.676812
249,0.001,5,100,-3.53414,0.684841
250,0.001,6,18,-3.56054,0.154736
251,0.001,6,19,-3.50988,0.322446
252,0.001,6,21,-3.50324,0.434842
253,0.001,6,23,-3.58586,0.197118
254,0.001,6,24,-3.55591,0.243466
255,0.001,6,26,-3.29891,0.478262
256,0.001,6,28,-3.39816,0.212548
257,0.001,6,29,-3.48191,0.387792
258,0.001,6,31,-3.70008,0.126297
259,0.001,6,33,-3.51943,0.375134
260,0.001,6,34,-3.73886,0.338868
261,0.001,6,36,-3.39605,0.221
262,0.001,6,38,-3.33215,0.197769
263,0.001,6,39,-3.51567,0.205221
264,0.001,6,41,-3.48907,0.334172
265,0.001,6,43,-3.47263,0.492075
266,0.001,6,44,-3.31212,0.230451
267,0.001,6,46,-3.37133,0.123258
268,0.001,6,48,-3.5304,0.207205
269,0.001,6,49,-3.21519,0.285813
270,0.001,6,51,-3.2517,0.386544
271,0.001,6,53,-3.56096,0.399765
272,0.001,6,54,-3.43529,0.325766
273,0.001,6,56,-3.23621,0.177791
274,0.001,6,58,-3.39607,0.495444
275,0.001,6,59,-3.45862,0.278622
276,0.001,6,61,-3.16781,0.306486
277,0.001,6,63,-3.17888,0.391549
278,0.001,6,64,-3.59008,0.291875
279,0.001,6,66,-3.36831,0.236649
280,0.001,6,68,-3.54589,0.274998
281,0.001,6,69,-3.40548,0.339558
282,0.001,6,71,-3.36388,0.109194
283,0.001,6,73,-3.40075,0.287232
284,0.001,6,74,-3.25157,0.283267
285,0.001,6,76,-3.19251,0.469294
286,0.001,6,78,-3.21598,0.154699
287,0.001,6,79,-3.48813,0.141763
288,0.001,6,81,-3.21068,0.4302
289,0.001,6,83,-3.47688,0.387473
290,0.001,6,84,-3.21639,0.386769
291,0.001,6,86,-3.37071,0.411634
292,0.001,6,88,-3.38041,0.416526
293,0.001,6,89,-3.378,0.128697
294,0.001,6,91,-3.25665,0.414891
295,0.001,6,93,-3.50205,0.265822
296,0.001,6,94,-3.5249,0.283506
297,0.001,6,96,-3.52699,0.343976
298,0.001,6,98,-3.49579,0.63275
299,0.001,6,100,-3.47282,0.222574
300,0.001,7,21,-3.8738,0.326981
301,0.001,7,22,-3.94421,0.0919501
302,0.001,7,24,-3.45372,0.562866
303,0.001,7,25,-3.58625,0.60703
304,0.001,7,27,-3.57092,0.313149
305,0.001,7,29,-3.8235,0.237157
306,0.001,7,30,-3.77303,0.427885
307,0.001,7,32,-3.73971,0.297591
308,0.001,7,33,-3.64233,0.179636
309,0.001,7,35,-3.80334,0.303057
310,0.001,7,37,-3.72592,0.313761
311,0.001,7,38,-3.68439,0.0867222
312,0.001,7,40,-3.25077,0.559272
313,0.001,7,41,-3.76863,0.0538297
314,0.001,7,43,-3.86238,0.501453
315,0.001,7,45,-3.47134,0.326304
316,0.001,7,46,-3.37926,0.40652
317,0.001,7,48,-3.79993,0.327525
318,0.001,7,50,-3.87552,0.336906
319,0.001,7,51,-3.24989,0.16208
320,0.001,7,53,-3.72702,0.375818
321,0.001,7,54,-3.91619,0.567347
322,0.001,7,56,-3.61931,0.25413
323,0.001,7,58,-3.60874,0.24299
324,0.001,7,59,-3.36238,0.38186
325,0.001,7,61,-3.75588,0.341322
326,0.001,7,62,-3.67922,0.316019
327,0.001,7,64,-3.47503,0.375186
328,0.001,7,66,-3.61941,0.288973
329,0.001,7,67,-3.65533,0.192439
330,0.001,7,69,-3.34055,0.688161
331,0.001,7,70,-3.59754,0.221264
332,0.001,7,72,-3.8227,0.52596
333,0.001,7,74,-3.31587,0.384991
334,0.001,7,75,-3.76659,0.307397
335,0.001,7,77,-3.40278,0.281159
336,0.001,7,79,-3.88294,0.337094
337,0.001,7,80,-3.39096,0.175487
338,0.001,7,82,-3.61808,0.362101
339,0.001,7,83,-3.43679,0.149239
340,0.001,7,85,-3.59784,0.188281
341,0.001,7,87,-3.59309,0.29311
342,0.001,7,88,-3.63976,0.789244
343,0.001,7,90,-3.97096,0.422333
344,0.001,7,91,-3.66933,0.398163
345,0.001,7,93,-3.64432,0.28976
346,0.001,7,95,-3.62534,0.268092
347,0.001,7,96,-3.65631,0.634665
348,0.001,7,98,-3.3333,0.332708
349,0.001,7,100,-3.77986,0.201598
350,0.001,8,24,-3.60479,0.21737
351,0.001,8,25,-3.5553,0.201443
352,0.001,8,27,-3.77562,0.208989
353,0.001,8,28,-3.38782,0.613595
354,0.001,8,30,-3.50424,0.191042
355,0.001,8,31,-3.39418,0.29085
356,0.001,8,33,-3.40331,0.311892
357,0.001,8,34,-3.77482,0.467469
358,0.001,8,36,-3.50625,0.188122
359,0.001,8,37,-3.61043,0.232673
360,0.001,8,39,-3.45141,0.172685
361,0.001,8,41,-3.45995,0.350275
362,0.001,8,42,-3.41067,0.72502
363,0.001,8,44,-3.67942,0.206942
364,0.001,8,45,-3.77044,0.31882
365,0.001,8,47,-3.49066,0.293779
366,0.001,8,48,-3.38797,0.281408
367,0.001,8,50,-3.61061,0.377515
368,0.001,8,51,-3.59474,0.234827
369,0.001,8,53,-3.38798,0.511856
370,0.001,8,55,-3.30018,0.154754
371,0.001,8,56,-3.43738,0.231223
372,0.001,8,58,-3.41584,0.439259
373,0.001,8,59,-3.33429,0.353041
374,0.001,8,61,-3.43348,0.529977
375,0.001,8,62,-3.8406,0.146313
376,0.001,8,64,-3.84269,0.34621
377,0.001,8,65,-3.32931,0.382858
378,0.001,8,67,-3.40249,0.543588
379,0.001,8,68,-3.73355,0.500454
380,0.001,8,70,-3.72201,0.367496
381,0.001,8,72,-3.41667,0.688926
382,0.001,8,73,-3.70565,0.274233
383,0.001,8,75,-3.40943,0.278264
384,0.001,8,76,-3.6135,0.286459
385,0.001,8,78,-3.62073,0.342979
386,0.001,8,79,-3.56738,0.354582
387,0.001,8,81,-3.31113,0.111505
388,0.001,8,82,-3.34285,0.257583
389,0.001,8,84,-3.53303,0.43808
390,0.001,8,86,-3.43241,0.323309
391,0.001,8,87,-3.25226,0.452142
392,0.001,8,89,-3.2053,0.43553
393,0.001,8,90,-3.40605,0.512772
394,0.001,8,92,-3.41978,0.382898
395,0.001,8,93,-3.54544,0.274274
396,0.001,8,95,-3.50696,0.229125
397,0.001,8,96,-3.34953,0.25518
398,0.001,8,98,-3.63685,0.355255
399,0.001,8,100,-3.42739,0.29341
400,0.001,9,27,-3.76528,0.291495
401,0.001,9,28,-3.7511,0.35241
402,0.001,9,29,-3.51581,0.441606
403,0.001,9,31,-3.4406,0.252741
404,0.001,9,32,-3.47409,0.218888
405,0.001,9,34,-3.75514,0.276113
406,0.001,9,35,-3.59944,0.455394
407,0.001,9,37,-3.49194,0.296993
408,0.001,9,38,-3.76709,0.339111
409,0.001,9,40,-3.64326,0.62205
410,0.001,9,41,-3.61479,0.295559
411,0.001,9,43,-3.75936,0.28841
412,0.001,9,44,-3.74746,0.18157
413,0.001,9,46,-3.51481,0.317277
414,0.001,9,47,-3.18627,0.382091
415,0.001,9,49,-3.84888,0.421749
416,0.001,9,50,-3.89394,0.464775
417,0.001,9,52,-3.6148,0.370068
418,0.001,9,53,-3.44091,0.295745
419,0.001,9,55,-3.62538,0.527934
420,0.001,9,56,-3.54152,0.241066
421,0.001,9,58,-3.5812,0.149806
422,0.001,9,59,-3.40598,0.346372
423,0.001,9,61,-3.59666,0.394246
424,0.001,9,62,-3.49094,0.166667
425,0.001,9,64,-3.31564,0.393813
426,0.001,9,65,-3.50645,0.203186
427,0.001,9,67,-3.40173,0.41058
428,0.001,9,68,-3.58021,0.607304
429,0.001,9,70,-3.50388,0.280786
430,0.001,9,71,-3.54108,0.361783
431,0.001,9,73,-3.25588,0.348767
432,0.001,9,74,-3.40972,0.336634
433,0.001,9,76,-3.48017,0.195725
434,0.001,9,77,-3.39943,0.392322
435,0.001,9,79,-3.55961,0.253393
436,0.001,9,80,-3.77454,0.285448
437,0.001,9,82,-3.49681,0.335942
438,0.001,9,83,-3.67976,0.464537
439,0.001,9,85,-3.43706,0.339999
440,0.001,9,86,-3.5879,0.407409
441,0.001,9,88,-3.58211,0.130512
442,0.001,9,89,-3.34016,0.557806
443,0.001,9,91,-3.27443,0.223319
444,0.001,9,92,-3.09433,0.875996
445,0.001,9,94,-3.02497,0.872986
446,0.001,9,95,-3.43565,0.224363
447,0.001,9,97,-3.46318,0.476754
448,0.001,9,98,-3.54508,0.352942
449,0.001,9,100,-3.12337,0.374235
450,0.001,10,30,-3.27648,0.257528
451,0.001,10,31,-3.28736,0.493391
452,0.001,10,32,-3.61155,0.206
453,0.001,10,34,-3.55584,0.217753
454,0.001,10,35,-3.23021,0.166202
455,0.001,10,37,-3.5203,0.260478
456,0.001,10,38,-3.25447,0.241208
457,0.001,10,40,-3.4897,0.173145
458,0.001,10,41,-3.48907,0.223304
459,0.001,10,42,-3.38766,0.239777
460,0.001,10,44,-3.38674,0.245206
461,0.001,10,45,-3.40951,0.230682
462,0.001,10,47,-3.26805,0.0926182
463,0.001,10,48,-3.3598,0.326313
464,0.001,10,50,-3.33894,0.0778214
465,0.001,10,51,-3.31445,0.221556
466,0.001,10,52,-3.45565,0.365147
467,0.001,10,54,-3.61887,0.313196
468,0.001,10,55,-3.2163,0.73341
469,0.001,10,57,-3.22655,0.496073
470,0.001,10,58,-3.10482,0.593767
471,0.001,10,60,-3.44532,0.303051
472,0.001,10,61,-3.35315,0.162568
473,0.001,10,62,-3.37972,0.363883
474,0.001,10,64,-3.76806,0.125948
475,0.001,10,65,-3.36759,0.358593
476,0.001,10,67,-3.24625,0.404594
477,0.001,10,68,-3.37303,0.5715
478,0.001,10,70,-3.31,0.24649
479,0.001,10,71,-3.62359,0.340348
480,0.001,10,72,-3.64028,0.474082
481,0.001,10,74,-3.53871,0.293165
482,0.001,10,75,-3.53254,0.234802
483,0.001,10,77,-3.38012,0.183996
484,0.001,10,78,-3.32611,0.349942
485,0.001,10,80,-3.31396,0.406797
486,0.001,10,81,-3.36215,0.179007
487,0.001,10,82,-3.25944,0.410098
488,0.001,10,84,-3.53922,0.26442
489,0.001,10,85,-3.53248,0.540752
490,0.001,10,87,-3.3717,0.390785
491,0.001,10,88,-3.50938,0.170887
492,0.001,10,90,-3.69925,0.347497
493,0.001,10,91,-3.38579,0.411664
494,0.001,10,92,-3.58362,0.428024
495,0.001,10,94,-3.34706,0.523998
496,0.001,10,95,-3.54827,0.255871
497,0.001,10,97,-3.09662,0.418386
498,0.001,10,98,-3.5416,0.341303
499,0.001,10,100,-3.52879,0.232959
